"","species","n.occurrences"
"950","Ocotea spectabilis (Meisn.) Mez",1
"951","Ocotea spixiana (Nees) Mez",6
"952","Ocotea tabacifolia (Meisn.) Rohwer",1
"953","Ocotea tenuiflora (Nees) Mez",8
"954","Ocotea tristis (Nees & Mart.) Mez",3
"955","Ocotea velloziana (Meisn.) Mez",8
"956","Ocotea velutina (Nees) Rohwer",14
"957","Ocotea villosa Kosterm.",2
"958","Ocotea virgultosa (Nees) Mart.",2
"959","Opuntia monacantha Haw.",1
"960","Oreopanax capitatus (Jacq.) Decne. & Planch.",1
"961","Ormosia arborea (Vell.) Harms",15
"962","Ormosia fastigiata Tul.",2
"963","Ormosia nitida Vogel",1
"964","Ossaea angustifolia (DC.) Triana",1
"965","Ossaea marginata (Desr.) Triana",1
"966","Ouratea castaneifolia (DC.) Engl.",11
"967","Ouratea floribunda (A.St.-Hil.) Engl.",1
"968","Ouratea hexasperma (A.St.-Hil.) Baill.",5
"969","Ouratea parviflora (A.DC.) Baill.",6
"970","Ouratea polygyna Engl.",15
"971","Ouratea salicifolia (A.St.-Hil. & Tul.) Engl.",12
"972","Ouratea semiserrata (Mart. & Nees) Engl.",21
"973","Ouratea vaccinioides (A.St.-Hil. & Tul.) Engl.",1
"974","Oxandra martiana (Schltdl.) R.E.Fr.",12
"975","Oxandra nitida R.E.Fr.",3
"976","Pachira endecaphylla (Vell.) Carv.-Sobr.",5
"977","Pachira glabra Pasq.",3
"978","Pachystroma longifolium (Nees) I.M.Johnst.",12
"979","Palicourea blanchetiana Schltdl.",2
"980","Palicourea crocea (Sw.) Roem. & Schult.",1
"981","Panopsis multiflora (Schott) Ducke",3
"982","Paradrypetes ilicifolia Kuhlm.",10
"983","Parapiptadenia pterosperma (Benth.) Brenan",14
"984","Paratecoma peroba (Record) Kuhlm.",9
"985","Parinari excelsa Sabine",3
"986","Parkia pendula (Willd.) Benth. ex Walp.",1
"987","Pausandra morisiana (Casar.) Radlk.",5
"988","Pavonia malacophylla (Link & Otto) Garcke",2
"989","Peltogyne angustiflora Ducke",3
"990","Peltogyne discolor Vogel",2
"991","Peltogyne pauciflora Benth.",1
"992","Peltophorum dubium (Spreng.) Taub.",26
"993","Pera anisotricha Müll. Arg.",10
"994","Pera glabrata (Schott) Poepp. ex Baill.",38
"995","Pera heteranthera (Schrank) I.M.Johnst.",20
"996","Pereskia aculeata Mill.",8
"997","Pereskia grandifolia Haw.",8
"998","Peritassa flaviflora A.C.Sm.",5
"999","Persea alba Nees & Mart.",5
"1000","Persea fulva L.E.Kopp",11
"1001","Persea major (Meisn.) L.E.Kopp",3
"1002","Persea rufotomentosa Nees & Mart.",8
"1003","Persea venosa Nees & Mart.",18
"1004","Persea willdenovii Kosterm.",10
"1005","Phyllanthus acuminatus Vahl",2
"1006","Phyllanthus juglandifolius Willd.",3
"1007","Phyllostemonodaphne geminiflora (Mez) Kosterm.",9
"1008","Phytolacca dioica L.",2
"1009","Picramnia ciliata Mart.",4
"1010","Picramnia gardneri Planch.",3
"1011","Picramnia glazioviana Engl.",19
"1012","Picramnia parvifolia Engl.",10
"1013","Picramnia ramiflora Planch.",9
"1014","Picramnia sellowii Planch.",4
"1015","Picrasma crenata (Vell.) Engl.",4
"1016","Pilocarpus giganteus Engl.",21
"1017","Pilocarpus grandiflorus Engl.",1
"1018","Pilocarpus riedelianus Engl.",4
"1019","Pilocarpus spicatus A.St.-Hil.",2
"1020","Pimenta pseudocaryophyllus (Gomes) Landrum",22
"1021","Piper aduncum L.",22
"1022","Piper amalago L.",18
"1023","Piper arboreum Aubl.",35
"1024","Piper cernuum Vell.",22
"1025","Piper hispidum Sw.",4
"1026","Piper macedoi Yunck.",2
"1027","Piper mollicomum Kunth",17
"1028","Piper richardiifolium Kunth",2
"1029","Piper tectoniifolium Kunth",1
"1030","Piper tuberculatum Jacq.",4
"1031","Piptadenia gonoacantha (Mart.) J.F.Macbr.",39
"1032","Piptadenia paniculata Benth.",5
"1033","Piptocarpha axillaris (Less.) Baker",2
"1034","Piptocarpha macropoda (DC.) Baker",31
"1035","Pisonia zapallo Griseb.",12
"1036","Plathymenia reticulata Benth.",30
"1037","Platycyamus regnellii Benth.",19
"1038","Platymiscium floribundum Vogel",19
"1039","Platymiscium pubescens Micheli",19
"1040","Platypodium elegans Vogel",31
"1041","Plenckia populnea Reissek",2
"1042","Plinia cauliflora (Mart.) Kausel",12
"1043","Plinia peruviana (Poir.) Govaerts",3
"1044","Plinia rivularis (Cambess.) Rotman",3
"1045","Podocarpus sellowii Klotzsch ex Endl.",5
"1046","Poecilanthe falcata (Vell.) Heringer",1
"1047","Poeppigia procera C.Presl",2
"1048","Pogonophora schomburgkiana Miers ex Benth.",23
"1049","Poincianella pluviosa (DC.) L.P.Queiroz",1
"1050","Posoqueria acutifolia Mart.",1
"1051","Posoqueria latifolia (Rudge) Schult.",24
"1052","Posoqueria longiflora Aubl.",1
"1053","Pourouma guianensis Aubl.",28
"1054","Pourouma velutina Mart. ex Miq.",3
"1055","Pouteria bangii (Rusby) T.D.Penn.",5
"1056","Pouteria bapeba T.D.Penn.",1
"1057","Pouteria bullata (S.Moore) Baehni",1
"1058","Pouteria butyrocarpa (Kuhlm.) T.D.Penn.",3
"1059","Pouteria caimito (Ruiz & Pav.) Radlk.",17
"1060","Pouteria coelomatica Rizzini",2
"1061","Pouteria durlandii (Standl.) Baehni",1
"1062","Pouteria gardneri (Mart. & Miq.) Baehni",16
"1063","Pouteria gardneriana (A.DC.) Radlk.",5
"1064","Pouteria glomerata (Miq.) Radlk.",2
"1065","Pouteria grandiflora (A.DC.) Baehni",12
"1066","Pouteria guianensis Aubl.",13
"1067","Pouteria macrophylla (Lam.) Eyma",5
"1068","Pouteria microstrigosa T.D.Penn.",9
"1069","Pouteria pachycalyx T.D.Penn.",6
"1070","Pouteria ramiflora (Mart.) Radlk.",3
"1071","Pouteria reticulata (Engl.) Eyma",7
"1072","Pouteria torta (Mart.) Radlk.",20
"1073","Pouteria venosa (Mart.) Baehni",2
"1074","Pradosia lactescens (Vell.) Radlk.",12
"1075","Prockia crucis P.Browne ex L.",13
"1076","Protium brasiliense (Spreng.) Engl.",18
"1077","Protium heptaphyllum (Aubl.) Marchand",37
"1078","Protium icicariba (DC.) Marchand",2
"1079","Protium spruceanum (Benth.) Engl.",26
"1080","Protium warmingianum Marchand",25
"1081","Protium widgrenii Engl.",3
"1082","Prunus myrtifolia (L.) Urb.",30
"1083","Pseudobombax grandiflorum (Cav.) A.Robyns",35
"1084","Pseudolmedia hirtula Kuhlm.",3
"1085","Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima",32
"1086","Pseudopiptadenia leptostachya (Benth.) Rauschert",4
"1087","Pseudopiptadenia warmingii (Benth.) G.P.Lewis & M.P.Lima",12
"1088","Psidium brownianum Mart. ex DC.",3
"1089","Psidium cattleianum Sabine",11
"1090","Psidium guajava L.",14
"1091","Psidium guineense Sw.",19
"1092","Psidium myrtoides O.Berg",13
"1093","Psidium oligospermum Mart. ex DC.",1
"1094","Psidium rufum Mart. ex DC.",22
"1095","Psidium sartorianum (O.Berg) Nied.",3
"1096","Psychotria carthagenensis Jacq.",32
"1097","Psychotria cupularis (Müll.Arg.) Standl.",3
"1098","Psychotria deflexa DC.",8
"1099","Psychotria forsteronioides Müll.Arg.",5
"1100","Psychotria hastisepala Müll.Arg.",7
"1101","Psychotria myriantha Müll.Arg.",3
"1102","Psychotria nemorosa Gardner",2
"1103","Psychotria nuda (Cham. & Schltdl.) Wawra",13
"1104","Psychotria pallens Gardner",1
"1105","Psychotria schlechtendaliana (Müll.Arg.) Müll.Arg.",1
"1106","Psychotria suterella Müll.Arg.",4
"1107","Psychotria vellosiana Benth.",36
"1108","Pterocarpus rohrii Vahl",27
"1109","Pterogyne nitens Tul.",8
"1110","Qualea cordata (Mart.) Spreng.",6
"1111","Qualea cryptantha (Spreng.) Warm.",8
"1112","Qualea dichotoma (Mart.) Warm.",4
"1113","Qualea gestasiana A.St.-Hil.",9
"1114","Qualea megalocarpa Stafleu",5
"1115","Qualea multiflora Mart.",17
"1116","Qualea selloi Warm.",1
"1117","Quararibea turbinata (Sw.) Poir.",12
"1118","Quiina glazovii Engl.",4
"1119","Quiina magallano-gomesii Schwacke",2
"1120","Ramisia brasiliensis Oliv.",14
"1121","Randia armata (Sw.) DC.",18
"1122","Rauia resinosa Nees & Mart.",2
"1123","Remijia ferruginea (A.St.-Hil.) DC.",9
"1124","Rhamnidium elaeocarpum Reissek",15
"1125","Rhamnus sphaerosperma Sw.",5
"1126","Rhodostemonodaphne capixabensis J.B. Baitello & Coe-Teix.",2
"1127","Rhodostemonodaphne macrocalyx (Meisn.) Rohwer ex Madriñán",13
"1128","Richeria grandis Vahl",2
"1129","Rinorea bahiensis (Moric.) Kuntze",3
"1130","Rinorea guianensis Aubl.",3
"1131","Roupala longepetiolata Pohl",3
"1132","Roupala meisneri Sleumer",1
"1133","Roupala montana Aubl.",28
"1134","Rudgea coriacea (Spreng.) K.Schum.",1
"1135","Rudgea jasminoides (Cham.) Müll.Arg.",25
"1136","Rudgea recurva Müll.Arg.",1
"1137","Rudgea reticulata Benth.",6
"1138","Rudgea sessilis (Vell.) Müll.Arg.",2
"1139","Rudgea viburnoides (Cham.) Benth.",2
"1140","Ruprechtia laxiflora Meisn.",3
"1141","Rustia formosa (Cham. & Schltdl.) Klotzsch",1
"1142","Sacoglottis mattogrossensis Malme",4
"1143","Salacia arborea (Schrank) Peyr.",3
"1144","Salacia elliptica (Mart. ex Schult.) G.Don",10
"1145","Salacia grandifolia (Mart. ex Schult.) G.Don",2
"1146","Salix humboldtiana Willd.",1
"1147","Samanea inopinata (Harms) Barneby & J.W.Grimes",2
"1148","Sapindus saponaria L.",1
"1149","Sapium glandulosum (L.) Morong",25
"1150","Sapium haematospermum Müll.Arg.",1
"1151","Sapium sellowianum (Müll.Arg.) Klotzsch ex Baill.",2
"1152","Sarcaulus brasiliensis (A.DC.) Eyma",2
"1153","Savia dictyocarpa Müll.Arg.",1
"1154","Savia sessiliflora (Sw.) Willd.",1
"1155","Schefflera calva (Cham.) Frodin & Fiaschi",13
"1156","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi",2
"1157","Schefflera morototoni (Aubl.) Maguire et al.",27
"1158","Schefflera varisiana Frodin",3
"1159","Schefflera vinosa (Cham. & Schltdl.) Frodin & Fiaschi",1
"1160","Schinus terebinthifolius Raddi",17
"1161","Schizocalyx cuspidatus (A.St.-Hil.) Kainul. & B. Bremer",13
"1162","Schizolobium parahyba (Vell.) Blake",7
"1163","Schoepfia brasiliensis A.DC.",15
"1164","Sebastiania brasiliensis Spreng.",10
"1165","Seguieria americana L.",2
"1166","Seguieria langsdorffii Moq.",18
"1167","Senefeldera verticillata (Vell.) Croizat",15
"1168","Senegalia polyphylla (DC.) Britton & Rose",28
"1169","Senegalia tenuifolia (L.) Britton & Rose",3
"1170","Senna affinis (Benth.) H.S.Irwin & Barneby",10
"1171","Senna cana (Nees & Mart.) H.S.Irwin & Barneby",8
"1172","Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby",27
"1173","Senna multijuga (Rich.) H.S.Irwin & Barneby",34
"1174","Senna pendula (Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby",1
"1175","Senna quinquangulata (Rich.) H.S.Irwin & Barneby",1
"1176","Senna reniformis (G.Don) H.S.Irwin & Barneby",5
"1177","Senna rugosa (G.Don) H.S.Irwin & Barneby",1
"1178","Senna silvestris (Vell.) H.S.Irwin & Barneby",4
"1179","Senna spectabilis (DC.) H.S.Irwin & Barneby",1
"1180","Senna splendida (Vogel) H.S.Irwin & Barneby",1
"1181","Simaba cedron Planch.",7
"1182","Simaba floribunda A.St.-Hil.",10
"1183","Simaba subcymosa A.St.-Hil. & Tul.",2
"1184","Simarouba amara Aubl.",9
"1185","Simira glaziovii (K.Schum.) Steyerm.",2
"1186","Simira grazielae Peixoto",1
"1187","Simira pikia (K.Schum.) Steyerm.",1
"1188","Simira sampaioana (Standl.) Steyerm.",8
"1189","Siparuna bifida (Poepp. & Endl.) A.DC.",9
"1190","Siparuna brasiliensis (Spreng.) A.DC.",15
"1191","Siparuna guianensis Aubl.",42
"1192","Siparuna poeppigii (Tul.) A.DC.",1
"1193","Siparuna reginae (Tul.) A.DC.",30
"1194","Siphoneugena crassifolia (DC.) Proença & Sobral",4
"1195","Siphoneugena densiflora O.Berg",18
"1196","Siphoneugena kiaerskoviana (Burret) Kausel",5
"1197","Siphoneugena reitzii D.Legrand",1
"1198","Sloanea garckeana K.Schum.",29
"1199","Sloanea guianensis (Aubl.) Benth.",26
"1200","Sloanea hirsuta (Schott) Planch. ex Benth.",12
"1201","Sloanea lasiocoma K.Schum.",9
"1202","Sloanea obtusifolia (Moric.) Schum.",2
"1203","Sloanea pubescens Benth.",1
"1204","Sloanea retusa Uittien",12
"1205","Solanum argenteum Dunal",2
"1206","Solanum asperum Rich.",6
"1207","Solanum bullatum Vell.",8
"1208","Solanum caavurana Vell.",8
"1209","Solanum campaniforme Roem. & Schult.",5
"1210","Solanum cernuum Vell.",21
"1211","Solanum cinnamomeum Sendtn.",5
"1212","Solanum cladotrichum Dunal",3
"1213","Solanum crinitum Lam.",6
"1214","Solanum didymum Dunal",6
"1215","Solanum diploconos (Mart.) Bohs",1
"1216","Solanum granulosoleprosum Dunal",9
"1217","Solanum latiflorum Bohs",3
"1218","Solanum leptostachys Dunal",1
"1219","Solanum leucodendron Sendtn.",15
"1220","Solanum lycocarpum A.St.-Hil.",1
"1221","Solanum mauritianum Scop.",2
"1222","Solanum megalochiton Mart.",4
"1223","Solanum melissarum Bohs",5
"1224","Solanum pseudoquina A.St.-Hil.",8
"1225","Solanum rufescens Sendtn.",5
"1226","Solanum sooretamum Carvalho",3
"1227","Solanum swartzianum Roem. & Schult.",23
"1228","Solanum velleum Thunb.",5
"1229","Solanum warmingii Hiern",6
"1230","Sorocea bonplandii (Baill.) W.C.Burger et al.",9
"1231","Sorocea guilleminiana Gaudich.",39
"1232","Sorocea hilarii Gaudich.",8
"1233","Sparattanthelium botocudorum Mart.",3
"1234","Sparattanthelium tupiniquinorum Mart.",1
"1235","Sparattosperma leucanthum (Vell.) K.Schum.",38
"1236","Spirotheca rivieri (Decne.) Ulbr.",3
"1237","Spondias macrocarpa Engl.",9
"1238","Spondias mombin L.",3
"1239","Spondias venulosa (Engl.) Engl.",10
"1240","Stephanopodium blanchetianum Baill.",1
"1241","Sterculia curiosa (Vell.) Taroda",11
"1242","Stifftia parviflora (Leandro) D.Don",1
"1243","Strychnos brasiliensis Mart.",6
"1244","Stryphnodendron polyphyllum Mart.",30
"1245","Styrax aureus Mart.",4
"1246","Styrax camporum Pohl",3
"1247","Styrax glabratus Schott",4
"1248","Styrax latifolius Pohl",5
"1249","Styrax maninul B.Walln.",7
"1250","Styrax martii Seub.",6
"1251","Styrax pohlii A.DC.",14
"1252","Swartzia acutifolia Vogel",20
"1253","Swartzia apetala Raddi",29
"1254","Swartzia flaemingii Raddi",15
"1255","Swartzia langsdorffii Raddi",2
"1256","Swartzia macrostachya Benth.",5
"1257","Swartzia multijuga Vogel",16
"1258","Swartzia myrtifolia Sm.",26
"1259","Swartzia oblata R.S.Cowan",11
"1260","Swartzia pilulifera Benth.",6
"1261","Swartzia simplex (Sw.) Spreng.",4
"1262","Swartzia submarginata (Benth.) Mansano",1
"1263","Sweetia fruticosa Spreng.",17
"1264","Syagrus macrocarpa Barb.Rodr.",7
"1265","Syagrus pseudococos (Raddi) Glassman",4
"1266","Syagrus romanzoffiana (Cham.) Glassman",32
"1267","Symphonia globulifera L.f.",2
"1268","Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.",1
"1269","Symplocos celastrinea Mart.",4
"1270","Symplocos estrellensis Casar.",2
"1271","Symplocos nitens (Pohl) Benth.",5
"1272","Symplocos oblongifolia Casar.",4
"1273","Symplocos pentandra (Mattos) Occhioni ex Aranha",1
"1274","Symplocos pubescens Klotzsch ex Benth.",9
"1275","Symplocos revoluta Casar.",1
"1276","Syzygium jambos (L.) Alston",7
"1277","Tabebuia obtusifolia (Cham.) Bureau",8
"1278","Tabebuia roseoalba (Ridl.) Sandwith",5
"1279","Tabernaemontana catharinensis A.DC.",9
"1280","Tabernaemontana flavicans Willd. ex Roem. & Schult.",2
"1281","Tabernaemontana hystrix Steud.",26
"1282","Tabernaemontana laeta Mart.",22
"1283","Tabernaemontana salzmannii A.DC.",1
"1284","Tabernaemontana solanifolia A.DC.",4
"1285","Tachigali densiflora (Benth.) L.G.Silva & H.C.Lima",3
"1286","Tachigali denudata (Vogel) Oliveira-Filho",11
"1287","Tachigali duckei (Dwyer) Oliveira-Filho",1
"1288","Tachigali friburgensis (Harms) L.G.Silva & H.C.Lima",2
"1289","Tachigali paratyensis (Vell.) H.C.Lima",10
"1290","Tachigali pilgeriana (Harms) Oliveira-Filho",2
"1291","Tachigali rugosa (Mart. ex Benth.) Zarucchi & Pipoly",25
"1292","Tachigali subvelutina (Benth.) Oliveira-Filho",1
"1293","Talisia cerasina (Benth.) Radlk.",10
"1294","Tapirira guianensis Aubl.",40
"1295","Tapirira obtusa (Benth.) J.D.Mitch.",24
"1296","Terminalia fagifolia Mart.",2
"1297","Terminalia glabrescens Mart.",30
"1298","Terminalia januariensis DC.",4
"1299","Terminalia mameluco Pickel",6
"1300","Terminalia phaeocarpa Eichler",14
"1301","Ternstroemia alnifolia Wawra",3
"1302","Ternstroemia brasiliensis Cambess.",12
"1303","Ternstroemia carnosa Cambess.",2
"1304","Tetrastylidium grandifolium (Baill.) Sleumer",13
"1305","Tetrorchidium rubrivenium Poepp.",1
"1306","Thyrsodium spruceanum Benth.",9
"1307","Tibouchina arborea (Gardner) Cogn.",3
"1308","Tibouchina candolleana (Mart. ex DC.) Cogn.",4
"1309","Tibouchina canescens (D.Don) Cogn.",3
"1310","Tibouchina elegans (Gardner) Cogn.",1
"1311","Tibouchina estrellensis (Raddi) Cogn.",24
"1312","Tibouchina fissinervia (Schrank & Mart. ex DC.) Cogn.",5
"1313","Tibouchina fothergillae (Schrank & Mart. ex DC.) Cogn.",5
"1314","Tibouchina mutabilis (Vell.) Cogn.",1
"1315","Tibouchina pulchra Cogn.",1
"1316","Tibouchina sellowiana Cogn.",6
"1317","Tibouchina stenocarpa (Schrank & Mart. ex DC.) Cogn.",2
"1318","Tocoyena brasiliensis Mart.",2
"1319","Tocoyena bullata (Vell.) Mart.",7
"1320","Tocoyena formosa (Cham. & Schltdl.) K.Schum.",1
"1321","Tontelea leptophylla A.C.Sm.",3
"1322","Toulicia laevigata Radlk.",22
"1323","Toulicia subsquamulata Radlk.",8
"1324","Tovomita brevistaminea Engl.",1
"1325","Tovomita fructipendula (Ruiz & Pav.) Cambess.",6
"1326","Tovomita leucantha (Schltdl.) Planch. & Triana",15
"1327","Tovomitopsis paniculata (Spreng.) Planch. & Triana",7
"1328","Trattinnickia ferruginea Kuhlm.",14
"1329","Trema micrantha (L.) Blume",26
"1330","Trembleya parviflora (D.Don) Cogn.",8
"1331","Trichilia casaretti C.DC.",13
"1332","Trichilia catigua A.Juss.",10
"1333","Trichilia clausseni C.DC.",1
"1334","Trichilia elegans A.Juss.",17
"1335","Trichilia emarginata (Turcz.) C.DC.",14
"1336","Trichilia hirta L.",12
"1337","Trichilia lepidota Mart.",25
"1338","Trichilia magnifoliola T.D.Penn.",4
"1339","Trichilia martiana C.DC.",3
"1340","Trichilia pallens C.DC.",21
"1341","Trichilia pallida Sw.",36
"1342","Trichilia pseudostipularis (A.Juss.) C.DC.",3
"1343","Trichilia quadrijuga Kunth",2
"1344","Trichilia ramalhoi Rizzini",2
"1345","Trichilia silvatica C.DC.",14
"1346","Trigoniodendron spiritusanctense E.F.Guim. & Miguel",3
"1347","Tripterodendron filicifolium Radlk.",5
"1348","Unonopsis bahiensis Maas & Orava",6
"1349","Unonopsis guatterioides (A.DC.) R.E.Fr.",1
"1350","Urbanodendron bahiense (Meisn.) Rohwer",1
"1351","Urbanodendron verrucosum (Nees) Mez",28
"1352","Urera baccifera (L.) Gaudich. ex Wedd.",8
"1353","Vantanea compacta (Schnizl.) Cuatrec.",1
"1354","Vatairea heteroptera (Allemão) Ducke",5
"1355","Vataireopsis araroba (Aguiar) Ducke",10
"1356","Verbesina glabrata Hook. & Arn.",1
"1357","Vernonanthura discolor (Spreng.) H.Rob.",14
"1358","Vernonanthura divaricata (Spreng.) H.Rob.",30
"1359","Virola bicuhyba (Schott ex Spreng.) Warb.",29
"1360","Virola gardneri (A.DC.) Warb.",12
"1361","Virola sebifera Aubl.",4
"1362","Vismia brasiliensis Choisy",11
"1363","Vismia guianensis (Aubl.) Choisy",25
"1364","Vismia magnoliifolia Cham. & Schltdl.",29
"1365","Vismia micrantha A.St.-Hil.",6
"1366","Vitex megapotamica (Spreng.) Moldenke",7
"1367","Vitex polygama Cham.",20
"1368","Vitex rufescens A.Juss.",2
"1369","Vitex sellowiana Cham.",17
"1370","Vochysia acuminata Bong.",1
"1371","Vochysia dasyantha Warm.",6
"1372","Vochysia emarginata (Vahl) Poir.",4
"1373","Vochysia magnifica Warm.",9
"1374","Vochysia oppugnata (Vell.) Warm.",2
"1375","Vochysia pyramidalis Mart.",2
"1376","Vochysia riedeliana Stafleu",4
"1377","Vochysia schwackeana Warm.",3
"1378","Vochysia thyrsoidea Pohl",2
"1379","Vochysia tucanorum Mart.",15
"1380","Weinmannia discolor Gardner",1
"1381","Weinmannia humilis Engl.",4
"1382","Weinmannia paulliniifolia Pohl ex Ser.",5
"1383","Wunderlichia mirabilis Riedel ex Baker",4
"1384","Ximenia americana L.",4
"1385","Xylopia aromatica (Lam.) Mart.",7
"1386","Xylopia brasiliensis Spreng.",20
"1387","Xylopia emarginata Mart.",2
"1388","Xylopia frutescens Aubl.",5
"1389","Xylopia laevigata (Mart.) R.E.Fr.",4
"1390","Xylopia langsdorfiana A.St.-Hil. & Tul.",1
"1391","Xylopia ochrantha Mart.",1
"1392","Xylopia sericea A.St.-Hil.",35
"1393","Xylosma ciliatifolia (Clos) Eichler",13
"1394","Xylosma prockia (Turcz.) Turcz.",18
"1395","Zanthoxylum acuminatum (Sw.) Sw.",3
"1396","Zanthoxylum caribaeum Lam.",15
"1397","Zanthoxylum fagara (L.) Sarg.",15
"1398","Zanthoxylum monogynum A.St.-Hil.",5
"1399","Zanthoxylum nemorale Mart.",2
"1400","Zanthoxylum petiolare A.St.-Hil. & Tul.",1
"1401","Zanthoxylum rhoifolium Lam.",38
"1402","Zanthoxylum riedelianum Engl.",5
"1403","Zanthoxylum tingoassuiba A.St.-Hil.",6
"1404","Zeyheria tuberculosa (Vell.) Bureau ex Verl.",22
"1405","Ziziphus platyphylla Reissek",4
"1406","Zollernia ilicifolia (Brongn.) Vogel",24
"1407","Zollernia modesta A.M.Carvalho & Barneby",3
"1408","Zygia latifolia (L.) Fawc. & Rendle",6
